fecha,volumen_DSP,volumen_NFP,volumen_NFC
2022-06-27,6544.285110965969,2211.858775307298,10555.576855671814
2022-06-28,5507.503979623296,3579.44872525409,11712.741118688687
2022-06-29,6387.856743311337,2999.951617802439,11081.40282105315
2022-06-30,6460.747754934804,2330.4590967071267,10000.229644177736
2022-07-01,6414.67449905329,3074.0903133234165,11647.029718589283
2022-07-02,7598.004690612265,2067.31373689802,11196.010018507228
2022-07-03,8169.543785340223,1276.6381100536655,8536.613939648036
2022-07-04,5850.719184686784,2402.684497720857,6179.999523544583
2022-07-05,8467.948505186789,2683.045706703233,9624.817874537115
2022-07-06,6399.202027706458,2381.817021498692,11408.55574560953
2022-07-07,7634.20552721799,2939.761225132396,10852.420041250338
2022-07-08,7362.431345664246,3031.659722943737,12861.903497956791
2022-07-09,6355.821286662486,942.8648751516142,11594.553711201072
